Country_RegionID,Date,NewDeaths
0,2020-04-29,2
0,2020-04-30,3
0,2020-05-01,4
0,2020-05-02,4
0,2020-05-03,13
0,2020-05-04,5
0,2020-05-05,5
0,2020-05-06,9
0,2020-05-07,2
0,2020-05-08,3
0,2020-05-09,6
0,2020-05-10,5
0,2020-05-11,2
0,2020-05-12,5
0,2020-05-13,5
0,2020-05-14,4
0,2020-05-15,17
0,2020-05-16,15
0,2020-05-17,2
0,2020-05-18,3
0,2020-05-19,5
0,2020-05-20,10
0,2020-05-21,6
0,2020-05-22,12
0,2020-05-23,11
0,2020-05-24,2
0,2020-05-25,1
0,2020-05-26,1
0,2020-05-27,7
0,2020-05-28,8
0,2020-05-29,11
0,2020-05-30,3
0,2020-05-31,8
0,2020-06-01,8
0,2020-06-02,8
0,2020-06-03,24
0,2020-06-04,6
0,2020-06-05,9
0,2020-06-06,18
0,2020-06-07,30
0,2020-06-08,12
0,2020-06-09,15
0,2020-06-10,21
0,2020-06-11,21
0,2020-06-12,20
0,2020-06-13,5
0,2020-06-14,20
0,2020-06-15,7
0,2020-06-16,13
0,2020-06-17,13
0,2020-06-18,42
0,2020-06-19,2
0,2020-06-20,21
0,2020-06-21,12
0,2020-06-22,12
0,2020-06-23,20
0,2020-06-24,21
0,2020-06-25,36
0,2020-06-26,8
0,2020-06-27,34
0,2020-06-28,12
0,2020-06-29,12
0,2020-06-30,12
0,2020-07-01,28
0,2020-07-02,29
0,2020-07-03,12
0,2020-07-04,7
0,2020-07-05,38
0,2020-07-06,34
0,2020-07-07,22
0,2020-07-08,17
0,2020-07-09,20
0,2020-07-10,14
0,2020-07-11,23
0,2020-07-12,16
0,2020-07-13,28
0,2020-07-14,24
0,2020-07-15,32
0,2020-07-16,21
0,2020-07-17,32
0,2020-07-18,17
0,2020-07-19,17
0,2020-07-20,2
0,2020-07-21,3
0,2020-07-22,4
0,2020-07-23,21
0,2020-07-24,14
0,2020-07-25,22
0,2020-07-26,12
0,2020-07-27,10
0,2020-07-28,1
0,2020-07-29,1
0,2020-07-30,10
0,2020-07-31,1
0,2020-08-01,1
0,2020-08-02,1
0,2020-08-03,4
0,2020-08-04,0
0,2020-08-05,6
0,2020-08-06,5
0,2020-08-07,9
0,2020-08-08,5
0,2020-08-09,6
0,2020-08-10,8
0,2020-08-11,17
0,2020-08-12,10
0,2020-08-13,9
0,2020-08-14,5
0,2020-08-15,1
0,2020-08-16,5
0,2020-08-17,2
0,2020-08-18,4
0,2020-08-19,2
0,2020-08-20,2
0,2020-08-21,0
0,2020-08-22,0
0,2020-08-23,2
0,2020-08-24,2
0,2020-08-25,8
0,2020-08-26,4
0,2020-08-27,0
0,2020-08-28,1
0,2020-08-29,0
0,2020-08-30,0
0,2020-08-31,0
0,2020-09-01,4
0,2020-09-02,3
0,2020-09-03,0
0,2020-09-04,0
0,2020-09-05,0
0,2020-09-06,3
0,2020-09-07,3
0,2020-09-08,3
0,2020-09-09,2
0,2020-09-10,0
0,2020-09-11,0
0,2020-09-12,0
0,2020-09-13,0
0,2020-09-14,6
0,2020-09-15,1
0,2020-09-16,10
0,2020-09-17,0
0,2020-09-18,1
0,2020-09-19,0
0,2020-09-20,4
0,2020-09-21,3
0,2020-09-22,1
0,2020-09-23,1
0,2020-09-24,5
0,2020-09-25,0
0,2020-09-26,2
0,2020-09-27,0
0,2020-09-28,3
0,2020-09-29,2
0,2020-09-30,0
0,2020-10-01,0
0,2020-10-02,0
0,2020-10-03,4
0,2020-10-04,0
0,2020-10-05,4
0,2020-10-06,1
0,2020-10-07,2
0,2020-10-08,1
0,2020-10-09,2
0,2020-10-10,1
0,2020-10-11,4
0,2020-10-12,2
0,2020-10-13,1
0,2020-10-14,1
0,2020-10-15,0
0,2020-10-16,4
0,2020-10-17,3
0,2020-10-18,4
0,2020-10-19,5
0,2020-10-20,2
0,2020-10-21,2
0,2020-10-22,4
0,2020-10-23,2
0,2020-10-24,4
0,2020-10-25,3
0,2020-10-26,4
0,2020-10-27,5
0,2020-10-28,6
0,2020-10-29,3
0,2020-10-30,1
0,2020-10-31,3
0,2020-11-01,0
0,2020-11-02,6
0,2020-11-03,3
0,2020-11-04,4
0,2020-11-05,6
0,2020-11-06,0
0,2020-11-07,2
0,2020-11-08,6
0,2020-11-09,12
0,2020-11-10,3
0,2020-11-11,4
0,2020-11-12,10
0,2020-11-13,4
0,2020-11-14,10
0,2020-11-15,12
0,2020-11-16,15
0,2020-11-17,6
0,2020-11-18,7
0,2020-11-19,5
0,2020-11-20,13
0,2020-11-21,12
0,2020-11-22,12
0,2020-11-23,12
0,2020-11-24,13
0,2020-11-25,13
0,2020-11-26,9
0,2020-11-27,3
0,2020-11-28,12
0,2020-11-29,22
0,2020-11-30,21
0,2020-12-01,27
0,2020-12-02,19
0,2020-12-03,5
0,2020-12-04,0
0,2020-12-05,18
0,2020-12-06,10
0,2020-12-07,26
0,2020-12-08,6
0,2020-12-09,13
0,2020-12-10,16
0,2020-12-11,10
0,2020-12-12,11
0,2020-12-13,9
0,2020-12-14,4
0,2020-12-15,26
0,2020-12-16,16
0,2020-12-17,14
0,2020-12-18,5
0,2020-12-19,17
0,2020-12-20,20
0,2020-12-21,15
0,2020-12-22,14
0,2020-12-23,21
0,2020-12-24,9
0,2020-12-25,13
0,2020-12-26,10
0,2020-12-27,11
0,2020-12-28,14
0,2020-12-29,5
0,2020-12-30,2
0,2020-12-31,10
0,2021-01-01,0
0,2021-01-02,0
0,2021-01-03,0
0,2021-01-04,46
0,2021-01-05,7
0,2021-01-06,0
0,2021-01-07,9
0,2021-01-08,4
0,2021-01-09,7
0,2021-01-10,13
0,2021-01-11,11
0,2021-01-12,13
0,2021-01-13,0
0,2021-01-14,13
0,2021-01-15,10
0,2021-01-16,12
0,2021-01-17,3
0,2021-01-18,4
0,2021-01-19,3
0,2021-01-20,8
0,2021-01-21,9
0,2021-01-22,7
0,2021-01-23,3
0,2021-01-24,5
0,2021-01-25,7
0,2021-01-26,4
0,2021-01-27,0
0,2021-01-28,8
0,2021-01-29,2
0,2021-01-30,1
0,2021-01-31,0
0,2021-02-01,4
0,2021-02-02,1
0,2021-02-03,1
0,2021-02-04,1
0,2021-02-05,0
0,2021-02-06,1
0,2021-02-07,2
0,2021-02-08,3
0,2021-02-09,1
0,2021-02-10,4
0,2021-02-11,1
0,2021-02-12,5
0,2021-02-13,3
0,2021-02-14,0
0,2021-02-15,0
0,2021-02-16,1
0,2021-02-17,0
0,2021-02-18,2
0,2021-02-19,0
0,2021-02-20,0
0,2021-02-21,2
0,2021-02-22,1
0,2021-02-23,2
0,2021-02-24,1
0,2021-02-25,2
0,2021-02-26,4
0,2021-02-27,1
0,2021-02-28,0
0,2021-03-01,1
0,2021-03-02,2
0,2021-03-03,0
0,2021-03-04,0
0,2021-03-05,3
0,2021-03-06,0
0,2021-03-07,0
0,2021-03-08,2
0,2021-03-09,0
0,2021-03-10,0
0,2021-03-11,0
0,2021-03-12,3
0,2021-03-13,0
0,2021-03-14,3
0,2021-03-15,2
0,2021-03-16,1
0,2021-03-17,0
0,2021-03-18,2
0,2021-03-19,0
0,2021-03-20,0
0,2021-03-21,1
0,2021-03-22,1
0,2021-03-23,2
0,2021-03-24,0
0,2021-03-25,1
0,2021-03-26,0
0,2021-03-27,2
0,2021-03-28,1
0,2021-03-29,2
0,2021-03-30,4
0,2021-03-31,8
0,2021-04-01,5
0,2021-04-02,6
0,2021-04-03,1
0,2021-04-04,1
0,2021-04-05,11
0,2021-04-06,4
0,2021-04-07,0
0,2021-04-08,4
0,2021-04-09,5
0,2021-04-10,0
0,2021-04-11,0
0,2021-04-12,8
0,2021-04-13,0
0,2021-04-14,3
0,2021-04-15,1
0,2021-04-16,2
0,2021-04-17,4
0,2021-04-18,0
0,2021-04-19,7
0,2021-04-20,3
0,2021-04-21,8
0,2021-04-22,4
1,2020-01-22,0
1,2020-01-23,0
1,2020-01-24,0
1,2020-01-25,0
1,2020-01-26,0
1,2020-01-27,0
1,2020-01-28,0
1,2020-01-29,0
1,2020-01-30,0
1,2020-01-31,0
1,2020-02-01,0
1,2020-02-02,0
1,2020-02-03,0
1,2020-02-04,0
1,2020-02-05,0
1,2020-02-06,0
1,2020-02-07,0
1,2020-02-08,0
1,2020-02-09,0
1,2020-02-10,0
1,2020-02-11,0
1,2020-02-12,0
1,2020-02-13,0
1,2020-02-14,0
1,2020-02-15,0
1,2020-02-16,0
1,2020-02-17,0
1,2020-02-18,0
1,2020-02-19,0
1,2020-02-20,0
1,2020-02-21,0
1,2020-02-22,0
1,2020-02-23,0
1,2020-02-24,0
1,2020-02-25,0
1,2020-02-26,0
1,2020-02-27,0
1,2020-02-28,0
1,2020-02-29,0
1,2020-03-01,0
1,2020-03-02,0
1,2020-03-03,0
1,2020-03-04,0
1,2020-03-05,0
1,2020-03-06,0
1,2020-03-07,0
1,2020-03-08,0
1,2020-03-09,0
1,2020-03-10,0
1,2020-03-11,1
1,2020-03-12,0
1,2020-03-13,0
1,2020-03-14,0
1,2020-03-15,0
1,2020-03-16,0
1,2020-03-17,0
1,2020-03-18,1
1,2020-03-19,0
1,2020-03-20,0
1,2020-03-21,0
1,2020-03-22,0
1,2020-03-23,2
1,2020-03-24,1
1,2020-03-25,0
1,2020-03-26,1
1,2020-03-27,2
1,2020-03-28,2
1,2020-03-29,0
1,2020-03-30,1
1,2020-03-31,4
1,2020-04-01,0
1,2020-04-02,1
1,2020-04-03,1
1,2020-04-04,3
1,2020-04-05,0
1,2020-04-06,1
1,2020-04-07,1
1,2020-04-08,0
1,2020-04-09,1
1,2020-04-10,0
1,2020-04-11,0
1,2020-04-12,0
1,2020-04-13,0
1,2020-04-14,1
1,2020-04-15,1
1,2020-04-16,1
1,2020-04-17,0
1,2020-04-18,0
1,2020-04-19,0
1,2020-04-20,0
1,2020-04-21,0
1,2020-04-22,1
1,2020-04-23,0
1,2020-04-24,0
1,2020-04-25,0
1,2020-04-26,1
1,2020-04-27,0
1,2020-04-28,2
1,2020-04-29,0
1,2020-04-30,1
1,2020-05-01,0
1,2020-05-02,0
1,2020-05-03,0
1,2020-05-04,0
1,2020-05-05,0
1,2020-05-06,0
1,2020-05-07,0
1,2020-05-08,0
1,2020-05-09,0
1,2020-05-10,0
1,2020-05-11,0
1,2020-05-12,0
1,2020-05-13,0
1,2020-05-14,0
1,2020-05-15,0
1,2020-05-16,0
1,2020-05-17,0
1,2020-05-18,0
1,2020-05-19,0
1,2020-05-20,0
1,2020-05-21,0
1,2020-05-22,0
1,2020-05-23,0
1,2020-05-24,1
1,2020-05-25,0
1,2020-05-26,1
1,2020-05-27,0
1,2020-05-28,0
1,2020-05-29,0
1,2020-05-30,0
1,2020-05-31,0
1,2020-06-01,0
1,2020-06-02,0
1,2020-06-03,0
1,2020-06-04,0
1,2020-06-05,0
1,2020-06-06,1
1,2020-06-07,0
1,2020-06-08,0
1,2020-06-09,0
1,2020-06-10,0
1,2020-06-11,1
1,2020-06-12,1
1,2020-06-13,0
1,2020-06-14,0
1,2020-06-15,0
1,2020-06-16,1
1,2020-06-17,1
1,2020-06-18,1
1,2020-06-19,3
1,2020-06-20,1
1,2020-06-21,1
1,2020-06-22,0
1,2020-06-23,1
1,2020-06-24,2
1,2020-06-25,2
1,2020-06-26,2
1,2020-06-27,2
1,2020-06-28,2
1,2020-06-29,3
1,2020-06-30,4
1,2020-07-01,3
1,2020-07-02,4
1,2020-07-03,3
1,2020-07-04,2
1,2020-07-05,2
1,2020-07-06,3
1,2020-07-07,2
1,2020-07-08,2
1,2020-07-09,0
1,2020-07-10,2
1,2020-07-11,4
1,2020-07-12,4
1,2020-07-13,2
1,2020-07-14,2
1,2020-07-15,4
1,2020-07-16,3
1,2020-07-17,3
1,2020-07-18,4
1,2020-07-19,1
1,2020-07-20,1
1,2020-07-21,4
1,2020-07-22,3
1,2020-07-23,3
1,2020-07-24,5
1,2020-07-25,6
1,2020-07-26,4
1,2020-07-27,6
1,2020-07-28,4
1,2020-07-29,2
1,2020-07-30,4
1,2020-07-31,3
1,2020-08-01,4
1,2020-08-02,5
1,2020-08-03,6
1,2020-08-04,4
1,2020-08-05,6
1,2020-08-06,6
1,2020-08-07,1
1,2020-08-08,4
1,2020-08-09,6
1,2020-08-10,1
1,2020-08-11,5
1,2020-08-12,3
1,2020-08-13,5
1,2020-08-14,6
1,2020-08-15,6
1,2020-08-16,3
1,2020-08-17,2
1,2020-08-18,2
1,2020-08-19,2
1,2020-08-20,4
1,2020-08-21,2
1,2020-08-22,5
1,2020-08-23,5
1,2020-08-24,4
1,2020-08-25,5
1,2020-08-26,4
1,2020-08-27,3
1,2020-08-28,5
1,2020-08-29,4
1,2020-08-30,5
1,2020-08-31,4
1,2020-09-01,6
1,2020-09-02,6
1,2020-09-03,5
1,2020-09-04,5
1,2020-09-05,6
1,2020-09-06,4
1,2020-09-07,3
1,2020-09-08,2
1,2020-09-09,1
1,2020-09-10,2
1,2020-09-11,3
1,2020-09-12,3
1,2020-09-13,4
1,2020-09-14,4
1,2020-09-15,2
1,2020-09-16,3
1,2020-09-17,4
1,2020-09-18,6
1,2020-09-19,5
1,2020-09-20,4
1,2020-09-21,2
1,2020-09-22,3
1,2020-09-23,3
1,2020-09-24,0
1,2020-09-25,3
1,2020-09-26,2
1,2020-09-27,2
1,2020-09-28,3
1,2020-09-29,4
1,2020-09-30,3
1,2020-10-01,1
1,2020-10-02,1
1,2020-10-03,3
1,2020-10-04,4
1,2020-10-05,4
1,2020-10-06,3
1,2020-10-07,4
1,2020-10-08,4
1,2020-10-09,2
1,2020-10-10,3
1,2020-10-11,4
1,2020-10-12,4
1,2020-10-13,5
1,2020-10-14,5
1,2020-10-15,5
1,2020-10-16,4
1,2020-10-17,5
1,2020-10-18,3
1,2020-10-19,3
1,2020-10-20,4
1,2020-10-21,4
1,2020-10-22,3
1,2020-10-23,4
1,2020-10-24,4
1,2020-10-25,4
1,2020-10-26,3
1,2020-10-27,7
1,2020-10-28,6
1,2020-10-29,6
1,2020-10-30,3
1,2020-10-31,7
1,2020-11-01,9
1,2020-11-02,9
1,2020-11-03,5
1,2020-11-04,4
1,2020-11-05,7
1,2020-11-06,6
1,2020-11-07,8
1,2020-11-08,2
1,2020-11-09,12
1,2020-11-10,8
1,2020-11-11,11
1,2020-11-12,8
1,2020-11-13,7
1,2020-11-14,7
1,2020-11-15,11
1,2020-11-16,8
1,2020-11-17,6
1,2020-11-18,9
1,2020-11-19,11
1,2020-11-20,15
1,2020-11-21,13
1,2020-11-22,14
1,2020-11-23,17
1,2020-11-24,19
1,2020-11-25,8
1,2020-11-26,10
1,2020-11-27,18
1,2020-11-28,16
1,2020-11-29,11
1,2020-11-30,12
1,2020-12-01,12
1,2020-12-02,17
1,2020-12-03,13
1,2020-12-04,18
1,2020-12-05,19
1,2020-12-06,16
1,2020-12-07,17
1,2020-12-08,14
1,2020-12-09,15
1,2020-12-10,14
1,2020-12-11,12
1,2020-12-12,12
1,2020-12-13,14
1,2020-12-14,13
1,2020-12-15,12
1,2020-12-16,12
1,2020-12-17,15
1,2020-12-18,11
1,2020-12-19,8
1,2020-12-20,14
1,2020-12-21,10
1,2020-12-22,13
1,2020-12-23,6
1,2020-12-24,8
1,2020-12-25,9
1,2020-12-26,9
1,2020-12-27,10
1,2020-12-28,11
1,2020-12-29,6
1,2020-12-30,4
1,2020-12-31,7
1,2021-01-01,0
1,2021-01-02,9
1,2021-01-03,3
1,2021-01-04,6
1,2021-01-05,11
1,2021-01-06,7
1,2021-01-07,6
1,2021-01-08,7
1,2021-01-09,3
1,2021-01-10,8
1,2021-01-11,6
1,2021-01-12,5
1,2021-01-13,4
1,2021-01-14,5
1,2021-01-15,4
1,2021-01-16,5
1,2021-01-17,7
1,2021-01-18,4
1,2021-01-19,6
1,2021-01-20,4
1,2021-01-21,5
1,2021-01-22,7
1,2021-01-23,7
1,2021-01-24,5
1,2021-01-25,9
1,2021-01-26,8
1,2021-01-27,7
1,2021-01-28,11
1,2021-01-29,8
1,2021-01-30,11
1,2021-01-31,11
1,2021-02-01,13
1,2021-02-02,5
1,2021-02-03,6
1,2021-02-04,14
1,2021-02-05,15
1,2021-02-06,13
1,2021-02-07,14
1,2021-02-08,12
1,2021-02-09,16
1,2021-02-10,15
1,2021-02-11,14
1,2021-02-12,14
1,2021-02-13,12
1,2021-02-14,12
1,2021-02-15,12
1,2021-02-16,15
1,2021-02-17,18
1,2021-02-18,17
1,2021-02-19,19
1,2021-02-20,17
1,2021-02-21,13
1,2021-02-22,15
1,2021-02-23,15
1,2021-02-24,19
1,2021-02-25,21
1,2021-02-26,20
1,2021-02-27,19
1,2021-02-28,21
1,2021-03-01,20
1,2021-03-02,19
1,2021-03-03,21
1,2021-03-04,20
1,2021-03-05,21
1,2021-03-06,21
1,2021-03-07,21
1,2021-03-08,17
1,2021-03-09,13
1,2021-03-10,17
1,2021-03-11,16
1,2021-03-12,16
1,2021-03-13,12
1,2021-03-14,15
1,2021-03-15,15
1,2021-03-16,17
1,2021-03-17,15
1,2021-03-18,14
1,2021-03-19,16
1,2021-03-20,11
1,2021-03-21,4
1,2021-03-22,8
1,2021-03-23,11
1,2021-03-24,15
1,2021-03-25,13
1,2021-03-26,8
1,2021-03-27,12
1,2021-03-28,6
1,2021-03-29,6
1,2021-03-30,11
1,2021-03-31,8
1,2021-04-01,6
1,2021-04-02,6
1,2021-04-03,9
1,2021-04-04,9
1,2021-04-05,9
1,2021-04-06,9
1,2021-04-07,8
1,2021-04-08,6
1,2021-04-09,7
1,2021-04-10,6
1,2021-04-11,7
1,2021-04-12,4
1,2021-04-13,5
1,2021-04-14,5
1,2021-04-15,4
1,2021-04-16,2
1,2021-04-17,3
1,2021-04-18,2
1,2021-04-19,5
1,2021-04-20,6
1,2021-04-21,5
1,2021-04-22,6
2,2020-01-22,0
2,2020-01-23,0
2,2020-01-24,0
2,2020-01-25,0
2,2020-01-26,0
2,2020-01-27,0
2,2020-01-28,0
2,2020-01-29,0
2,2020-01-30,0
2,2020-01-31,0
2,2020-02-01,0
2,2020-02-02,0
2,2020-02-03,0
2,2020-02-04,0
2,2020-02-05,0
2,2020-02-06,0
2,2020-02-07,0
2,2020-02-08,0
2,2020-02-09,0
2,2020-02-10,0
2,2020-02-11,0
2,2020-02-12,0
2,2020-02-13,0
2,2020-02-14,0
2,2020-02-15,0
2,2020-02-16,0
2,2020-02-17,0
2,2020-02-18,0
2,2020-02-19,0
2,2020-02-20,0
2,2020-02-21,0
2,2020-02-22,0
2,2020-02-23,0
2,2020-02-24,0
2,2020-02-25,0
2,2020-02-26,0
2,2020-02-27,0
2,2020-02-28,0
2,2020-02-29,0
2,2020-03-01,0
2,2020-03-02,0
2,2020-03-03,0
2,2020-03-04,0
2,2020-03-05,0
2,2020-03-06,0
2,2020-03-07,0
2,2020-03-08,0
2,2020-03-09,0
2,2020-03-10,0
2,2020-03-11,0
2,2020-03-12,1
2,2020-03-13,1
2,2020-03-14,1
2,2020-03-15,1
2,2020-03-16,0
2,2020-03-17,0
2,2020-03-18,3
2,2020-03-19,2
2,2020-03-20,2
2,2020-03-21,4
2,2020-03-22,2
2,2020-03-23,0
2,2020-03-24,2
2,2020-03-25,2
2,2020-03-26,4
2,2020-03-27,1
2,2020-03-28,3
2,2020-03-29,2
2,2020-03-30,4
2,2020-03-31,9
2,2020-04-01,14
2,2020-04-02,28
2,2020-04-03,19
2,2020-04-04,25
2,2020-04-05,22
2,2020-04-06,21
2,2020-04-07,20
2,2020-04-08,12
2,2020-04-09,30
2,2020-04-10,21
2,2020-04-11,19
2,2020-04-12,18
2,2020-04-13,20
2,2020-04-14,13
2,2020-04-15,10
2,2020-04-16,12
2,2020-04-17,16
2,2020-04-18,3
2,2020-04-19,8
2,2020-04-20,9
2,2020-04-21,8
2,2020-04-22,10
2,2020-04-23,5
2,2020-04-24,8
2,2020-04-25,4
2,2020-04-26,6
2,2020-04-27,7
2,2020-04-28,5
2,2020-04-29,7
2,2020-04-30,6
2,2020-05-01,3
2,2020-05-02,6
2,2020-05-03,4
2,2020-05-04,2
2,2020-05-05,5
2,2020-05-06,6
2,2020-05-07,7
2,2020-05-08,5
2,2020-05-09,6
2,2020-05-10,8
2,2020-05-11,5
2,2020-05-12,8
2,2020-05-13,7
2,2020-05-14,7
2,2020-05-15,7
2,2020-05-16,6
2,2020-05-17,6
2,2020-05-18,7
2,2020-05-19,6
2,2020-05-20,7
2,2020-05-21,7
2,2020-05-22,7
2,2020-05-23,10
2,2020-05-24,8
2,2020-05-25,9
2,2020-05-26,8
2,2020-05-27,6
2,2020-05-28,7
2,2020-05-29,8
2,2020-05-30,8
2,2020-05-31,7
2,2020-06-01,8
2,2020-06-02,6
2,2020-06-03,6
2,2020-06-04,8
2,2020-06-05,9
2,2020-06-06,8
2,2020-06-07,9
2,2020-06-08,8
2,2020-06-09,9
2,2020-06-10,8
2,2020-06-11,9
2,2020-06-12,10
2,2020-06-13,9
2,2020-06-14,7
2,2020-06-15,10
2,2020-06-16,11
2,2020-06-17,11
2,2020-06-18,12
2,2020-06-19,14
2,2020-06-20,12
2,2020-06-21,8
2,2020-06-22,7
2,2020-06-23,9
2,2020-06-24,8
2,2020-06-25,9
2,2020-06-26,7
2,2020-06-27,7
2,2020-06-28,5
2,2020-06-29,8
2,2020-06-30,7
2,2020-07-01,8
2,2020-07-02,8
2,2020-07-03,9
2,2020-07-04,9
2,2020-07-05,6
2,2020-07-06,7
2,2020-07-07,9
2,2020-07-08,10
2,2020-07-09,10
2,2020-07-10,8
2,2020-07-11,8
2,2020-07-12,7
2,2020-07-13,7
2,2020-07-14,10
2,2020-07-15,12
2,2020-07-16,12
2,2020-07-17,5
2,2020-07-18,11
2,2020-07-19,10
2,2020-07-20,9
2,2020-07-21,13
2,2020-07-22,11
2,2020-07-23,13
2,2020-07-24,12
2,2020-07-25,10
2,2020-07-26,9
2,2020-07-27,8
2,2020-07-28,11
2,2020-07-29,12
2,2020-07-30,14
2,2020-07-31,10
2,2020-08-01,13
2,2020-08-02,8
2,2020-08-03,8
2,2020-08-04,9
2,2020-08-05,13
2,2020-08-06,12
2,2020-08-07,9
2,2020-08-08,11
2,2020-08-09,9
2,2020-08-10,10
2,2020-08-11,10
2,2020-08-12,11
2,2020-08-13,8
2,2020-08-14,10
2,2020-08-15,9
2,2020-08-16,10
2,2020-08-17,9
2,2020-08-18,12
2,2020-08-19,11
2,2020-08-20,9
2,2020-08-21,7
2,2020-08-22,6
2,2020-08-23,11
2,2020-08-24,11
2,2020-08-25,10
2,2020-08-26,9
2,2020-08-27,10
2,2020-08-28,8
2,2020-08-29,8
2,2020-08-30,10
2,2020-08-31,9
2,2020-09-01,8
2,2020-09-02,5
2,2020-09-03,6
2,2020-09-04,10
2,2020-09-05,10
2,2020-09-06,7
2,2020-09-07,6
2,2020-09-08,9
2,2020-09-09,10
2,2020-09-10,10
2,2020-09-11,8
2,2020-09-12,6
2,2020-09-13,7
2,2020-09-14,8
2,2020-09-15,12
2,2020-09-16,13
2,2020-09-17,9
2,2020-09-18,5
2,2020-09-19,6
2,2020-09-20,7
2,2020-09-21,7
2,2020-09-22,10
2,2020-09-23,9
2,2020-09-24,5
2,2020-09-25,4
2,2020-09-26,4
2,2020-09-27,3
2,2020-09-28,5
2,2020-09-29,7
2,2020-09-30,10
2,2020-10-01,5
2,2020-10-02,8
2,2020-10-03,7
2,2020-10-04,4
2,2020-10-05,8
2,2020-10-06,0
2,2020-10-07,3
2,2020-10-08,12
2,2020-10-09,6
2,2020-10-10,6
2,2020-10-11,6
2,2020-10-12,8
2,2020-10-13,9
2,2020-10-14,9
2,2020-10-15,0
2,2020-10-16,14
2,2020-10-17,5
2,2020-10-18,10
2,2020-10-19,9
2,2020-10-20,8
2,2020-10-21,7
2,2020-10-22,8
2,2020-10-23,9
2,2020-10-24,10
2,2020-10-25,7
2,2020-10-26,8
2,2020-10-27,9
2,2020-10-28,10
2,2020-10-29,8
2,2020-10-30,7
2,2020-10-31,8
2,2020-11-01,9
2,2020-11-02,7
2,2020-11-03,0
2,2020-11-04,19
2,2020-11-05,12
2,2020-11-06,13
2,2020-11-07,12
2,2020-11-08,12
2,2020-11-09,14
2,2020-11-10,15
2,2020-11-11,16
2,2020-11-12,18
2,2020-11-13,13
2,2020-11-14,15
2,2020-11-15,15
2,2020-11-16,14
2,2020-11-17,18
2,2020-11-18,20
2,2020-11-19,18
2,2020-11-20,12
2,2020-11-21,19
2,2020-11-22,17
2,2020-11-23,22
2,2020-11-24,15
2,2020-11-25,20
2,2020-11-26,23
2,2020-11-27,20
2,2020-11-28,21
2,2020-11-29,17
2,2020-11-30,21
2,2020-12-01,16
2,2020-12-02,17
2,2020-12-03,16
2,2020-12-04,12
2,2020-12-05,9
2,2020-12-06,15
2,2020-12-07,11
2,2020-12-08,12
2,2020-12-09,15
2,2020-12-10,10
2,2020-12-11,11
2,2020-12-12,9
2,2020-12-13,12
2,2020-12-14,13
2,2020-12-15,14
2,2020-12-16,8
2,2020-12-17,9
2,2020-12-18,7
2,2020-12-19,12
2,2020-12-20,7
2,2020-12-21,9
2,2020-12-22,12
2,2020-12-23,9
2,2020-12-24,9
2,2020-12-25,11
2,2020-12-26,6
2,2020-12-27,6
2,2020-12-28,9
2,2020-12-29,8
2,2020-12-30,6
2,2020-12-31,5
2,2021-01-01,6
2,2021-01-02,7
2,2021-01-03,3
2,2021-01-04,5
2,2021-01-05,5
2,2021-01-06,4
2,2021-01-07,6
2,2021-01-08,6
2,2021-01-09,5
2,2021-01-10,4
